iter	Passed	Remaining
0	142	142839
1	144	71906
2	146	48616
3	147	36822
4	150	29890
5	151	25051
6	153	21704
7	154	19149
8	156	17266
9	158	15657
10	159	14373
11	161	13275
12	163	12431
13	166	11692
14	166	10959
15	167	10300
16	168	9739
17	170	9296
18	172	8927
19	173	8511
20	175	8161
21	176	7825
22	177	7531
23	179	7289
24	179	7019
25	180	6770
26	181	6555
27	183	6361
28	184	6173
29	185	5987
30	185	5812
31	186	5653
32	188	5511
33	189	5373
34	190	5242
35	191	5120
36	192	5003
37	193	4891
38	194	4783
39	195	4680
40	195	4581
41	196	4486
42	197	4395
43	198	4306
44	199	4223
45	199	4142
46	200	4066
47	201	3992
48	202	3921
49	202	3850
50	203	3782
51	203	3717
52	204	3652
53	204	3590
54	205	3531
55	206	3474
56	206	3419
57	207	3365
58	207	3314
59	208	3264
60	208	3214
61	209	3168
62	210	3123
63	210	3079
64	211	3036
65	211	2994
66	212	2953
67	212	2915
68	213	2877
69	213	2841
70	214	2806
71	215	2773
72	215	2739
73	216	2706
74	216	2673
75	217	2642
76	217	2611
77	218	2581
78	218	2552
79	219	2525
80	220	2497
81	220	2470
82	220	2440
83	221	2414
84	221	2389
85	222	2364
86	222	2339
87	223	2316
88	224	2293
89	224	2271
90	225	2249
91	225	2227
92	226	2206
93	226	2185
94	227	2165
95	227	2145
96	228	2125
97	228	2107
98	229	2089
99	230	2072
100	230	2053
101	231	2036
102	231	2019
103	232	2001
104	232	1985
105	233	1968
106	233	1952
107	234	1936
108	235	1921
109	235	1907
110	236	1892
111	236	1877
112	237	1862
113	237	1848
114	238	1834
115	238	1820
116	239	1806
117	239	1793
118	240	1780
119	240	1766
120	241	1754
121	241	1740
122	242	1728
123	242	1716
124	243	1704
125	244	1692
126	244	1680
127	245	1670
128	245	1659
129	246	1648
130	246	1636
131	247	1626
132	247	1616
133	248	1606
134	249	1595
135	249	1586
136	250	1576
137	250	1566
138	251	1557
139	251	1547
140	252	1538
141	252	1527
142	253	1518
143	253	1509
144	254	1500
145	255	1491
146	255	1482
147	256	1473
148	256	1465
149	257	1457
150	257	1449
151	258	1440
152	258	1432
153	259	1424
154	260	1417
155	260	1409
156	261	1402
157	261	1394
158	262	1387
159	262	1379
160	263	1371
161	263	1364
162	264	1356
163	264	1349
164	265	1342
165	265	1335
166	266	1329
167	266	1322
168	267	1315
169	268	1308
170	268	1301
171	269	1295
172	269	1289
173	270	1282
174	270	1276
175	271	1270
176	271	1264
177	272	1257
178	272	1251
179	273	1245
180	274	1240
181	274	1234
182	275	1229
183	275	1223
184	276	1217
185	276	1211
186	277	1206
187	278	1200
188	278	1195
189	279	1189
190	279	1184
191	280	1178
192	280	1173
193	281	1168
194	281	1162
195	282	1157
196	282	1152
197	283	1147
198	283	1141
199	284	1136
200	284	1132
201	285	1127
202	285	1122
203	286	1117
204	286	1112
205	287	1108
206	288	1103
207	288	1099
208	289	1094
209	289	1090
210	290	1086
211	291	1082
212	291	1078
213	292	1073
214	292	1069
215	293	1065
216	294	1061
217	294	1056
218	295	1052
219	295	1047
220	296	1043
221	296	1039
222	297	1035
223	297	1031
224	298	1027
225	298	1023
226	299	1019
227	299	1015
228	300	1011
229	300	1007
230	301	1003
231	302	1000
232	302	996
233	303	992
234	303	988
235	304	984
236	304	981
237	305	977
238	306	974
239	306	970
240	307	967
241	307	963
242	308	960
243	308	956
244	309	953
245	309	949
246	310	946
247	310	942
248	311	939
249	312	936
250	312	932
251	313	929
252	313	926
253	314	922
254	314	919
255	315	916
256	315	913
257	316	909
258	316	906
259	317	903
260	317	900
261	318	897
262	319	894
263	319	891
264	320	888
265	320	885
266	321	882
267	322	879
268	322	876
269	323	873
270	323	870
271	324	867
272	324	864
273	325	861
274	325	858
275	326	855
276	326	853
277	327	850
278	327	847
279	328	844
280	329	842
281	329	839
282	330	836
283	330	834
284	331	831
285	331	828
286	332	826
287	333	823
288	333	820
289	334	818
290	334	815
291	335	813
292	336	811
293	336	808
294	337	806
295	337	803
296	338	801
297	339	798
298	339	796
299	340	793
300	340	791
301	341	788
302	341	786
303	342	783
304	342	781
305	343	778
306	343	776
307	344	773
308	344	771
309	345	768
310	345	766
311	346	763
312	346	761
313	347	759
314	348	756
315	348	754
316	349	752
317	349	749
318	350	747
319	350	745
320	351	743
321	352	741
322	352	739
323	353	737
324	353	735
325	354	732
326	355	730
327	355	728
328	356	726
329	356	724
330	357	722
331	357	720
332	358	717
333	358	715
334	359	713
335	360	711
336	360	709
337	361	707
338	361	705
339	362	703
340	362	701
341	363	699
342	363	696
343	364	694
344	365	693
345	365	691
346	366	689
347	367	687
348	367	685
349	368	683
350	368	682
351	369	680
352	370	678
353	370	676
354	371	674
355	372	673
356	372	671
357	373	669
358	373	667
359	374	665
360	374	663
361	375	661
362	375	659
363	376	657
364	376	655
365	377	653
366	377	651
367	378	650
368	379	648
369	379	646
370	380	644
371	380	642
372	381	641
373	382	639
374	382	638
375	383	636
376	383	634
377	384	632
378	384	630
379	385	629
380	386	627
381	386	625
382	387	623
383	387	621
384	388	620
385	388	618
386	389	616
387	389	614
388	390	612
389	390	611
390	391	609
391	391	607
392	392	606
393	392	604
394	393	602
395	394	601
396	394	599
397	395	597
398	395	595
399	396	594
400	396	592
401	397	591
402	398	589
403	398	588
404	399	586
405	399	584
406	400	583
407	400	581
408	401	579
409	401	578
410	402	576
411	402	574
412	403	573
413	403	571
414	404	570
415	405	568
416	405	566
417	406	565
418	406	563
419	407	562
420	407	560
421	408	558
422	408	557
423	409	555
424	409	554
425	410	552
426	410	551
427	411	550
428	412	548
429	413	547
430	413	545
431	414	544
432	414	542
433	415	541
434	415	539
435	416	538
436	416	536
437	417	535
438	417	533
439	418	532
440	418	531
441	419	529
442	420	528
443	420	526
444	421	525
445	421	523
446	422	522
447	422	521
448	423	519
449	423	518
450	424	516
451	425	515
452	425	513
453	426	512
454	426	511
455	427	510
456	428	508
457	428	507
458	429	505
459	429	504
460	430	502
461	430	501
462	431	500
463	431	498
464	432	497
465	432	495
466	433	494
467	433	493
468	434	491
469	434	490
470	435	489
471	436	487
472	436	486
473	437	485
474	437	483
475	438	482
476	438	481
477	439	479
478	439	478
479	440	477
480	441	475
481	441	474
482	442	473
483	442	472
484	443	470
485	444	469
486	444	468
487	445	467
488	445	465
489	446	464
490	446	463
491	447	461
492	447	460
493	448	459
494	448	457
495	449	456
496	449	455
497	450	454
498	451	452
499	451	451
500	452	450
501	452	449
502	453	447
503	453	446
504	454	445
505	454	443
506	455	442
507	455	441
508	456	440
509	457	439
510	457	438
511	458	436
512	459	435
513	459	434
514	460	433
515	460	432
516	461	430
517	461	429
518	462	428
519	462	427
520	463	426
521	464	425
522	464	424
523	465	422
524	466	421
525	466	420
526	467	419
527	467	418
528	468	416
529	468	415
530	469	414
531	469	413
532	470	412
533	470	410
534	471	409
535	471	408
536	472	407
537	473	406
538	473	405
539	474	404
540	474	402
541	475	401
542	476	400
543	476	399
544	477	398
545	477	397
546	478	396
547	478	395
548	479	393
549	480	392
550	480	391
551	481	390
552	481	389
553	482	388
554	482	387
555	483	386
556	483	384
557	484	383
558	485	382
559	485	381
560	486	380
561	486	379
562	487	378
563	487	376
564	488	375
565	488	374
566	489	373
567	490	372
568	490	371
569	491	370
570	491	369
571	492	368
572	493	367
573	493	366
574	494	365
575	494	364
576	495	363
577	495	361
578	496	360
579	496	359
580	497	358
581	497	357
582	498	356
583	499	355
584	499	354
585	500	353
586	500	352
587	501	351
588	501	350
589	502	349
590	503	348
591	503	347
592	504	346
593	504	345
594	505	343
595	505	342
596	506	341
597	507	340
598	507	339
599	508	338
600	508	337
601	509	336
602	509	335
603	510	334
604	510	333
605	511	332
606	511	331
607	512	330
608	512	329
609	513	328
610	513	327
611	514	326
612	514	325
613	515	324
614	516	323
615	516	321
616	517	320
617	517	319
618	518	319
619	519	318
620	519	317
621	520	316
622	520	315
623	521	314
624	521	313
625	522	312
626	523	311
627	523	310
628	524	309
629	524	308
630	525	307
631	525	306
632	526	305
633	526	304
634	527	303
635	527	302
636	528	301
637	529	300
638	529	299
639	530	298
640	530	297
641	531	296
642	531	295
643	532	294
644	532	293
645	533	292
646	534	291
647	535	290
648	535	289
649	536	288
650	536	287
651	537	286
652	537	285
653	538	284
654	538	283
655	539	282
656	540	281
657	540	280
658	541	280
659	541	279
660	542	278
661	542	277
662	543	276
663	543	275
664	544	274
665	544	273
666	545	272
667	545	271
668	546	270
669	546	269
670	547	268
671	548	267
672	548	266
673	549	265
674	549	264
675	550	263
676	551	262
677	551	262
678	552	261
679	552	260
680	553	259
681	553	258
682	554	257
683	554	256
684	555	255
685	556	254
686	556	253
687	557	252
688	557	251
689	558	250
690	558	249
691	559	248
692	559	247
693	560	247
694	560	246
695	561	245
696	562	244
697	562	243
698	563	242
699	563	241
700	564	240
701	564	239
702	565	238
703	566	238
704	566	237
705	567	236
706	567	235
707	568	234
708	568	233
709	569	232
710	569	231
711	570	230
712	571	229
713	571	228
714	572	228
715	572	227
716	573	226
717	573	225
718	574	224
719	574	223
720	575	222
721	575	221
722	576	220
723	576	219
724	577	219
725	577	218
726	578	217
727	579	216
728	579	215
729	580	214
730	580	213
731	581	212
732	582	212
733	582	211
734	583	210
735	583	209
736	584	208
737	584	207
738	585	206
739	585	205
740	586	204
741	586	204
742	587	203
743	587	202
744	588	201
745	588	200
746	589	199
747	590	198
748	590	198
749	591	197
750	592	196
751	592	195
752	593	194
753	593	193
754	594	192
755	595	192
756	595	191
757	596	190
758	596	189
759	597	188
760	597	187
761	598	186
762	598	186
763	599	185
764	600	184
765	600	183
766	601	182
767	601	181
768	602	180
769	602	180
770	603	179
771	603	178
772	604	177
773	604	176
774	605	175
775	605	174
776	606	174
777	606	173
778	607	172
779	607	171
780	608	170
781	609	169
782	609	169
783	610	168
784	611	167
785	611	166
786	612	165
787	612	164
788	613	163
789	613	163
790	614	162
791	614	161
792	615	160
793	615	159
794	616	158
795	617	158
796	617	157
797	618	156
798	618	155
799	619	154
800	619	153
801	620	153
802	621	152
803	621	151
804	622	150
805	622	149
806	623	149
807	623	148
808	624	147
809	625	146
810	625	145
811	626	145
812	626	144
813	627	143
814	628	142
815	628	141
816	629	140
817	629	140
818	630	139
819	630	138
820	631	137
821	631	136
822	632	136
823	633	135
824	633	134
825	634	133
826	635	132
827	635	132
828	636	131
829	636	130
830	637	129
831	638	128
832	638	128
833	639	127
834	640	126
835	640	125
836	641	124
837	641	124
838	642	123
839	642	122
840	643	121
841	644	120
842	644	120
843	645	119
844	645	118
845	646	117
846	646	116
847	647	116
848	647	115
849	648	114
850	649	113
851	649	112
852	650	112
853	650	111
854	651	110
855	651	109
856	652	108
857	652	108
858	653	107
859	653	106
860	654	105
861	655	104
862	655	104
863	656	103
864	656	102
865	657	101
866	657	100
867	658	100
868	658	99
869	659	98
870	660	97
871	660	96
872	661	96
873	661	95
874	662	94
875	662	93
876	663	93
877	663	92
878	664	91
879	664	90
880	665	89
881	665	89
882	666	88
883	667	87
884	667	86
885	668	85
886	668	85
887	669	84
888	669	83
889	670	82
890	670	82
891	671	81
892	672	80
893	672	79
894	673	78
895	673	78
896	674	77
897	674	76
898	675	75
899	675	75
900	676	74
901	677	73
902	677	72
903	678	72
904	678	71
905	679	70
906	679	69
907	680	68
908	680	68
909	681	67
910	681	66
911	682	65
912	682	65
913	683	64
914	683	63
915	684	62
916	685	62
917	685	61
918	686	60
919	686	59
920	687	58
921	687	58
922	688	57
923	688	56
924	689	55
925	690	55
926	690	54
927	691	53
928	691	52
929	692	52
930	692	51
931	693	50
932	694	49
933	694	49
934	695	48
935	695	47
936	696	46
937	696	46
938	697	45
939	697	44
940	698	43
941	698	43
942	699	42
943	699	41
944	700	40
945	701	40
946	701	39
947	702	38
948	702	37
949	703	37
950	703	36
951	704	35
952	705	34
953	705	34
954	706	33
955	706	32
956	707	31
957	707	31
958	708	30
959	708	29
960	709	28
961	709	28
962	710	27
963	710	26
964	711	25
965	712	25
966	712	24
967	713	23
968	713	22
969	714	22
970	714	21
971	715	20
972	716	19
973	716	19
974	717	18
975	717	17
976	718	16
977	718	16
978	719	15
979	719	14
980	720	13
981	720	13
982	721	12
983	722	11
984	722	11
985	723	10
986	723	9
987	724	8
988	724	8
989	725	7
990	725	6
991	726	5
992	726	5
993	727	4
994	727	3
995	728	2
996	728	2
997	729	1
998	730	0
999	730	0
